rubrics_id  rubrics_number  mitt_number  page_number | observer_id  observer_alias - comment | frequency
573  893  95  165  |  77   Quimby - * | 16

575  895  95  167  |  133   Scharbe - A = W. Abold | 1
575  895  95  167  |  133   Scharbe - A | 4
575  895  95  167  |  133   Scharbe - S = Sykora | 1
575  895  95  167  |  133   Scharbe - S | 15

578  898  95  169  |  113   Kleiner - uncertain | 2

579  889  94  124  |  26   Galilé - another observation 5 groups 8 sunspots | 1
579  889  94  124  |  26   Galilé - another observation 6 groups 11 sunspots | 1
579  889  94  124  |  26   Galilé - another observation 3 groups 3 sunspots | 1
579  889  94  124  |  26   Galilé - another observation 9.5 cm image 9 groups 40 sunspots | 1
579  889  94  124  |  26   Galilé - 9.5 cm image | 7
579  889  94  124  |  26   Galilé - another observation 9.5 cm image 7 groups 38 sunspots | 1
579  889  94  124  |  26   Galilé - another observation 3 groups 8 sunspots | 1

583  900  95  170  |  139   Stempell - * = direct observation | 1
583  900  95  170  |  139   Stempell - * | 6

588  1041  101  12  |  56   Wolfer - * "1.1?" | 1
588  1041  101  12  |  56   Wolfer - * "1.4?" | 1

589  1042  101  13  |  104   Broger - * = Handfernrohr | 10
589  1042  101  13  |  104   Broger - 2.4? | 1

590  905  95  173  |  124   Subbotin - uncertain | 9
590  905  95  173  |  124   Subbotin - Move to Sobolki station | 1
590  905  95  173  |  124   Subbotin - Move to St. Petersburg station | 1

591  906  95  174  |  132   Guillaume - * | 11

593  908  95  175  |  101   Catania 1 -  Ricco -  Mascari - uncertain | 3

594  1043  101  13  |  141   Biske - 4.9? | 1

597  1046  101  16  |  143   Hrase - * = disk 10 cm | 1
597  1046  101  16  |  143   Hrase - * | 19

599  1048  101  17  |  77   Quimby - télescope de pouce | 3
599  1048  101  17  |  77   Quimby - Télescope de pouce | 12

603  1052  101  20  |  114   Woinoff - télescope 8 cm | 2

610  1059  101  25  |  149   Catania L.Taffara, G.Horn - Horn | 22

618  1070  102  46  |  143   Hrase - img. 20cm de diamètre | 18

619  1071  102  46  |  77   Quimby - télescope de pouce (2 1/2) | 12

620  1072  102  47  |  69   Winkler - Téles ouverture 68mm | 30

629  1081  102  53  |  113   Kleiner - mauvaise déf img sol | 7

633  1086  102  56  |  132   Guillaume - mauvaise déf img soleil | 1
633  1086  102  56  |  132   Guillaume - mauvaise déf img soleil  | 13

634  1090  103  69  |  56   Wolfer - Référence obs télescope I | 14

638  1094  103  72  |  155   Kavan - mauvaise déf img soleil | 29

651  1108  103  85  |  132   Guillaume - mauvaise déf img soleil | 4
651  1108  103  85  |  132   Guillaume - Obs M Gallissot | 6
651  1108  103  85  |  132   Guillaume - Guillaume Zürich | 1
651  1108  103  85  |  132   Guillaume - mauvaise déf img sol | 1

658  1117  104  103  |  77   Quimby - télescope de pouce (2 1/2) | 12

661  1120  104  106  |  155   Kavan - mauvaise déf img soleil | 15

670  1129  104  111  |  132   Guillaume - mauvaise déf img soleil | 9
670  1129  104  111  |  132   Guillaume - pores | 4
670  1129  104  111  |  132   Guillaume - obs Gallisot | 2
670  1129  104  111  |  132   Guillaume - mauvaise déf img sol | 2

687  1149  105  136  |  132   Guillaume - Obs. Gallisot | 6
687  1149  105  136  |  132   Guillaume - mauvaise déf img soleil | 1
687  1149  105  136  |  132   Guillaume - mauvaise déf img sol | 1

691  1155  107  172  |  56   Wolfer - interruption cause maladie | 3
691  1155  107  172  |  56   Wolfer - Référence obs télescope portatif | 10

696  1160  107  176  |  77   Quimby - télescope de pouce (2 1/²) | 1
696  1160  107  176  |  77   Quimby - telescope de pouce (2 1/²) | 10

701  1165  107  180  |  132   Guillaume - mauvaise déf img soleil | 9
701  1165  107  180  |  132   Guillaume - Obs Flajolet | 9
701  1165  107  180  |  132   Guillaume - mauvaise déf img sol | 1

707  1171  107  184  |  163   Catania Ricco, Strano, Favaro - Strano | 58
707  1171  107  184  |  163   Catania Ricco, Strano, Favaro - Favaro | 12

712  1179  108  205  |  77   Quimby - telescope de pouce (2 1/²) | 15

718  1185  108  210  |  165   Catania Fattorosi, Strano, Di Bella - Fattorosi | 99
718  1185  108  210  |  165   Catania Fattorosi, Strano, Di Bella - Strano | 14
718  1185  108  210  |  165   Catania Fattorosi, Strano, Di Bella - Di Bella | 150

720  1187  108  212  |  132   Guillaume - mauvaise déf img soleil | 14
720  1187  108  212  |  132   Guillaume - Obs. Luizet | 5
720  1187  108  212  |  132   Guillaume - mauvaise déf img sol | 1

722  1189  108  213  |  166   Heimen - mauvaise déf img soleil | 51
722  1189  108  213  |  166   Heimen - mauvaise déf img sol | 1

726  1196  109  231  |  77   Quimby - teescope de poche 2 1/8 | 4

735  1205  109  237  |  168   Catania Ricco, Fattorosi - Ricco | 20
735  1205  109  237  |  168   Catania Ricco, Fattorosi - Fattorosi | 244
735  1205  109  237  |  168   Catania Ricco, Fattorosi - Fattorosif | 1

736  1206  109  238  |  166   Heimen - mauvaise déf img soleil | 55
736  1206  109  238  |  166   Heimen - mauvaise déf img sol | 1

737  1207  109  239  |  132   Guillaume - mauvaise déf img soleil | 31
737  1207  109  239  |  132   Guillaume - mauvaise déf img sol | 2

746  1219  110  258  |  166   Heimen - mauvaise déf img soleil | 27
746  1219  110  258  |  166   Heimen - mauvaise déf img sol | 1

747  1220  110  259  |  170   Tass - Obs. Bodocs | 112
747  1220  110  259  |  170   Tass - Obs. Hoffmann | 6

759  1234  111  18  |  139   Stempell - nbr de compteurs plus important | 1
759  1234  111  18  |  139   Stempell - nbr compteurs plus important | 9

761  1236  111  20  |  166   Heimen - mauvaise déf img soleil | 15

763  1238  111  21  |  171   Voss - Mauvais comptage  | 1

764  1239  111  22  |  172   Malsch - uncertain | 2

770  1245  111  25  |  132   Guillaume - mauvaise déf img soleil | 40

773  1251  112  38  |  56   Wolfer - Obs. telescope I | 20

781  1259  112  45  |  132   Guillaume - mauvaise déf img soleil | 28
781  1259  112  45  |  132   Guillaume - Obs. Grouiller | 23
781  1259  112  45  |  132   Guillaume - Obs. Gauthier | 8

783  1277  112  58  |  114   Woinoff - Obs. Telescope I | 15

787  1281  112  61  |  77   Quimby - telescope deux pouces | 14

790  1284  112  64  |  132   Guillaume - Obs. Gauthier | 65
790  1284  112  64  |  132   Guillaume - mauvaise déf img soleil | 16
790  1284  112  64  |  132   Guillaume - Obs. Grouiller | 3

796  1324  113  84  |  77   Quimby - telescope deux pouces | 11

799  1327  113  87  |  132   Guillaume - mauvaise déf img soleil | 10
799  1327  113  87  |  132   Guillaume - Obs. Gauthier | 1
799  1327  113  87  |  132   Guillaume - Obs. Grouiller | 1
799  1327  113  87  |  132   Guillaume - Obs. Bloch | 96

815  1406  114  126  |  132   Guillaume - Obs. Bloch | 71
815  1406  114  126  |  132   Guillaume - Obs. Bloch + mauvaise def img | 27
815  1406  114  126  |  132   Guillaume - mauvaise déf img soleil | 41
815  1406  114  126  |  132   Guillaume - mauvaise déf img sol | 2

816  1407  114  127  |  132   Guillaume - Obs. Bloch | 97
816  1407  114  127  |  132   Guillaume - Obs. Bloch + mauvaise def img | 19
816  1407  114  127  |  132   Guillaume - mauvaise déf img soleil | 21
816  1407  114  127  |  132   Guillaume - Obs. Bodocs | 1
